"product","Year","Cotton_yarn","Flock_yarn","Other_yarn","Total_yarn","Cotton_textiles","Flock_textiles","Other_textiles","Total_textiles","Raw_silk","pop"
"flock_textiles_pop",1886,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA
"flock_textiles_pop",1887,NA,NA,NA,NA,NA,NA,NA,NA,3476,NA
"flock_textiles_pop",1888,NA,NA,NA,NA,NA,NA,NA,NA,3566,NA
"flock_textiles_pop",1889,NA,NA,NA,NA,NA,NA,NA,NA,4175,NA
"flock_textiles_pop",1890,NA,NA,NA,NA,NA,NA,NA,NA,4725,NA
"flock_textiles_pop",1891,NA,NA,NA,NA,NA,NA,NA,NA,4380,NA
"flock_textiles_pop",1892,NA,NA,NA,NA,NA,NA,NA,NA,4070,NA
"flock_textiles_pop",1893,NA,NA,NA,NA,NA,NA,NA,NA,5430,NA
"flock_textiles_pop",1894,NA,NA,NA,NA,NA,NA,NA,NA,5070,NA
"flock_textiles_pop",1895,NA,NA,NA,NA,NA,NA,NA,NA,5105,NA
"flock_textiles_pop",1896,NA,NA,NA,NA,NA,NA,NA,NA,4960,NA
"flock_textiles_pop",1897,NA,NA,NA,NA,NA,NA,NA,NA,4400,NA
"flock_textiles_pop",1898,NA,NA,NA,NA,NA,NA,NA,NA,4735,NA
"flock_textiles_pop",1899,NA,NA,NA,NA,NA,NA,NA,NA,5100,NA
"flock_textiles_pop",1900,NA,NA,NA,118602,NA,NA,NA,NA,5132,NA
"flock_textiles_pop",1901,NA,NA,NA,117425,NA,NA,NA,NA,5049,NA
"flock_textiles_pop",1902,NA,NA,NA,128071,NA,NA,NA,NA,5430,NA
"flock_textiles_pop",1903,NA,NA,NA,133993,NA,NA,NA,NA,4626,NA
"flock_textiles_pop",1904,NA,NA,NA,134502,NA,NA,NA,NA,5651,NA
"flock_textiles_pop",1905,NA,NA,NA,143430,NA,NA,NA,NA,5552,NA
"flock_textiles_pop",1906,NA,NA,NA,165818,NA,NA,NA,NA,6047,NA
"flock_textiles_pop",1907,NA,NA,NA,189513,NA,NA,NA,NA,6173,NA
"flock_textiles_pop",1908,NA,NA,NA,179776,NA,NA,NA,NA,5498,NA
