"source_city_name","source_lng","source_lat","source_country_name","source_country_code","source_continent","target_city_name","target_lng","target_lat","target_country_name","target_country_code","target_continent"
"Trieste",13.770277777,45.650277777,"Italy","IT","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Grenoble",5.726388888,45.186944444,"France","FR","Europe","Innsbruck",11.393333333,47.268333333,"Austria","AT","Europe"
"Varna",27.91108,43.211375,"Bulgaria","BG","Europe","Wels",14.016666666,48.15,"Austria","AT","Europe"
"Passau",13.4609744,48.5748229,"Austria","AT","Europe","Krems",15.616666666,48.416666666,"Austria","AT","Europe"
"Dresden",13.74,51.05,"Germany","DE","Europe","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Vilnius",25.28,54.687222222,"Lithuania","LT","Europe","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Pécs",18.233055555,46.070833333,"Hungary","HU","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Groningen",6.5675,53.218888888,"Netherlands","NL","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Zalaegerszeg",16.851111111,46.839166666,"Hungary","HU","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Kansas City",-94.676388888,39.106666666,"United States of America","US","North America","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Saint Petersburg",30.316666666,59.95,"Russia","RU","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Halle (Saale)",11.969722222,51.482777777,"Germany","DE","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Székesfehérvár",18.410811,47.1910169,"Hungary","HU","Europe","St. Pölten",15.616666666,48.2,"Austria","AT","Europe"
"Dunaújváros",18.916666666,46.983333333,"Hungary","HU","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Kaposvár",17.783333333,46.366666666,"Hungary","HU","Europe","Villach",13.833333333,46.616666666,"Austria","AT","Europe"
